bike_point_id,name,latitude,longitude,num_bikes,num_empty_docks,num_docks,installed,locked
BikePoints_192,"Wardour Street, Soho",51.512515,-0.133201,0,14,16,True,False
BikePoints_193,"Bankside Mix, Bankside",51.505817,-0.100186,10,48,60,True,False
BikePoints_194,"Hop Exchange, The Borough",51.504627,-0.091773,35,20,56,True,False
BikePoints_195,"Milroy Walk, South Bank",51.507244,-0.106237,14,12,30,True,False
BikePoints_196,"Union Street, The Borough",51.503688,-0.098497,2,13,17,True,False
BikePoints_197,"Stamford Street, South Bank",51.505569,-0.111606,25,0,27,True,False
BikePoints_199,"Great Tower Street, Monument",51.510484,-0.082989,4,20,24,True,False
BikePoints_200,"LMU Commercial Road, Whitechapel",51.514924,-0.066078,7,4,14,True,False
BikePoints_201,"Dorset Square, Marylebone",51.522596,-0.161113,14,0,16,True,False
BikePoints_202,"Leman Street, Aldgate",51.512363,-0.069542,13,20,37,True,False
BikePoints_203,"West Smithfield Rotunda, Farringdon",51.518218,-0.100791,5,6,15,True,False
BikePoints_204,"Margery Street, Clerkenwell",51.526599,-0.112432,16,1,19,True,False
BikePoints_206,"New Road 1 , Whitechapel",51.518154,-0.062697,26,5,36,True,False
BikePoints_207,"Grosvenor Crescent, Belgravia",51.501352,-0.153194,15,2,18,True,False
BikePoints_208,"Mallory Street, Marylebone",51.525051,-0.166304,3,13,20,True,False
BikePoints_209,"Denyer Street, Knightsbridge",51.493583,-0.165101,5,23,30,True,False
BikePoints_210,"Hinde Street, Marylebone",51.516814,-0.151926,5,12,21,True,False
BikePoints_211,"Cadogan Place, Knightsbridge",51.494645,-0.158105,9,20,34,True,False
BikePoints_212,"Campden Hill Road, Notting Hill",51.506584,-0.199004,1,16,17,True,False
BikePoints_213,"Wellington Arch, Hyde Park",51.50274,-0.149569,26,8,36,True,False
BikePoints_214,"Endsleigh Gardens, Euston",51.526838,-0.130504,29,2,32,True,False
BikePoints_215,"Moorfields, Moorgate",51.519069,-0.088285,2,48,54,True,False
BikePoints_216,"Old Brompton Road, South Kensington",51.490945,-0.18119,14,15,30,True,False
BikePoints_217,"Wormwood Street, Liverpool Street",51.516154,-0.082422,0,14,16,True,False
BikePoints_218,"St. Luke's Church, Chelsea",51.489716,-0.170194,7,12,20,True,False
BikePoints_219,"Bramham Gardens, Earl's Court",51.490163,-0.190393,20,5,29,True,False
BikePoints_220,"Chelsea Green, Chelsea",51.490664,-0.166485,9,4,15,True,False
BikePoints_221,"Horseferry Road, Westminster",51.494816,-0.130458,2,13,16,True,False
BikePoints_222,"Knightsbridge, Hyde Park",51.502757,-0.155349,39,1,43,True,False
BikePoints_223,"Rodney Road , Walworth",51.491484,-0.09022,8,16,24,True,False
BikePoints_224,"Queensway, Kensington Gardens",51.51031,-0.187402,9,0,17,True,False
BikePoints_225,"Notting Hill Gate Station, Notting Hill",51.509353,-0.196422,2,28,30,True,False
BikePoints_226,"Charles II Street, West End",51.508446,-0.131961,10,9,24,True,False
BikePoints_227,"Great Percy Street, Clerkenwell",51.528915,-0.11548,17,1,23,True,False
BikePoints_228,"St. James's Square, St. James's",51.507424,-0.134621,13,24,40,True,False
BikePoints_229,"Whitehall Place, Strand",51.506543,-0.123179,19,16,46,True,False
BikePoints_230,"Poured Lines, Bankside",51.506692,-0.103137,6,23,31,True,False
BikePoints_231,"Queen's Gate (Central), South Kensington",51.493967,-0.178732,2,29,31,True,False
BikePoints_232,"Carey Street, Holborn",51.51501,-0.112753,0,13,16,True,False
BikePoints_233,"Pall Mall East, West End",51.50777,-0.130699,16,5,22,True,False
BikePoints_234,"Liverpool Road (N1 Centre), Angel",51.534504,-0.106992,19,1,24,True,False
