name,latitude,longitude,transport_type
Alperton Underground Station,51.540721,-0.299837,tube_station
Alperton Underground Station,51.540683,-0.299708,tube_station
Amersham Underground Station,51.674126,-0.607714,tube_station
Amersham Underground Station,51.673926,-0.607489,tube_station
Amersham Underground Station,51.673916,-0.607388,tube_station
Arnos Grove Underground Station,51.616446,-0.133062,tube_station
Arnos Grove Underground Station,51.616302,-0.133068,tube_station
Arnos Grove Underground Station,51.616266,-0.13307,tube_station
Arnos Grove Underground Station,51.616203,-0.133044,tube_station
Arsenal Underground Station,51.558655,-0.107457,tube_station
Arsenal Underground Station,51.558681,-0.107903,tube_station
Arsenal Underground Station,51.558699,-0.107931,tube_station
Bromley-by-Bow Underground Station,51.524839,-0.011538,tube_station
Bromley-by-Bow Underground Station,51.524614,-0.012024,tube_station
Bromley-by-Bow Underground Station,51.524612,-0.011937,tube_station
Barbican Underground Station,51.520275,-0.097993,tube_station
Barbican Underground Station,51.520319,-0.097948,tube_station
Barbican Underground Station,51.520303,-0.098049,tube_station
Bounds Green Underground Station,51.607034,-0.124235,tube_station
Bounds Green Underground Station,51.606879,-0.124617,tube_station
Bounds Green,51.60729,-0.12447,tube_station
Becontree Underground Station,51.540331,0.127016,tube_station
Becontree Underground Station,51.540367,0.127003,tube_station
Becontree Underground Station,51.540375,0.127105,tube_station
Barkingside Underground Station,51.585689,0.088585,tube_station
Barkingside Underground Station,51.585795,0.088662,tube_station
Barkingside Underground Station,51.58575,0.08866,tube_station
Blackfriars Underground Station,51.511581,-0.103659,tube_station
Blackfriars Underground Station,51.511603,-0.103341,tube_station
Blackfriars Underground Station,51.511619,-0.103239,tube_station
Barking Underground Station,51.539321,0.081053,tube_station
Barking Underground Station,51.539658,0.080809,tube_station
Barking Underground Station,51.539612,0.080893,tube_station
Barking Underground Station,51.539574,0.080978,tube_station
